,KDAUSDT,GMTUSDT,Spread,Zscore
0,3.091,2.629,-0.45814999999999984,
1,3.082,2.6155,-0.44892500000000046,
2,3.085,2.5948,-0.41798000000000046,
3,3.031,2.5924,-0.46873999999999993,
4,3.099,2.6259,-0.44596500000000017,
5,3.048,2.6061,-0.4702350000000002,
6,3.032,2.609,-0.4901500000000003,
7,3.021,2.523,-0.38505000000000056,
8,2.886,2.4548,-0.42798000000000025,
9,2.909,2.424,-0.3634000000000004,
10,3.138,2.4166,-0.12441000000000013,
11,3.084,2.3161,-0.04273500000000041,
12,2.986,2.2607,-0.0659449999999997,
13,2.946,2.241,-0.07935000000000025,
14,3.006,2.3214,-0.12789000000000073,
15,2.959,2.2804,-0.1195400000000002,
16,2.92,2.2985,-0.18297500000000078,
17,2.98,2.3108,-0.13958000000000004,
18,2.967,2.3282,-0.17606999999999973,
19,2.97,2.2898,-0.12123000000000017,
20,2.838,2.193,-0.12255000000000038,0.8788547601403215
21,2.909,2.2563,-0.13700500000000027,0.7163364523326922
22,2.829,2.2344,-0.18744000000000005,0.34672231343017634
23,2.78,2.1907,-0.17744500000000052,0.3477243104598773
24,2.71,2.1743,-0.22530500000000053,-0.03919310074384662
25,2.707,2.1483,-0.1932050000000003,0.10642959217158524
26,2.722,2.1699,-0.20736500000000024,-0.10146337086226406
27,2.852,2.246,-0.18010000000000037,0.0021184610894807833
28,2.807,2.2186,-0.18811,-0.19310815888423566
29,2.862,2.2433,-0.16645500000000002,-0.11959898099425846
30,2.821,2.1945,-0.141575,0.13394468927582762
31,2.784,2.2227,-0.21664500000000064,-1.3048599075454859
32,2.763,2.2021,-0.20983500000000044,-1.128427766959493
33,2.698,2.14,-0.19100000000000028,-0.6408948508211946
34,2.616,1.7721,0.223665,4.072576686687631
35,2.24,1.7031,-0.05918499999999982,0.9475856838681398
36,2.523,1.8907,-0.029444999999999943,1.1754583869014907
37,2.552,1.9653,-0.10115500000000033,0.4011819797484887
38,2.558,1.9098,-0.020230000000000192,1.1315536487735656
39,2.543,1.9451,-0.0828850000000001,0.4674258682990751
40,2.5,1.906,-0.07310000000000016,0.5374185340074145
41,2.462,1.7924,0.042260000000000186,1.4951593588888918
42,2.455,1.7739,0.06023500000000004,1.4816610944731636
43,2.473,1.8096,0.030039999999999623,1.1061579448494274
